Datetime,Water Level (m)
2024-07-24 06:00:00,0.9932594
2024-07-24 07:00:00,1.5444701
2024-07-24 08:00:00,1.7544614
2024-07-24 09:00:00,1.6921606
2024-07-24 10:00:00,1.3515633
2024-07-24 11:00:00,0.97593576
2024-07-24 12:00:00,0.6124762
2024-07-24 13:00:00,0.30930206
2024-07-24 14:00:00,0.06369141
2024-07-24 15:00:00,-0.14407168
2024-07-24 16:00:00,-0.26764572
2024-07-24 17:00:00,0.075015545
2024-07-24 18:00:00,0.63748294
2024-07-24 19:00:00,1.1433636
2024-07-24 20:00:00,1.5296112
2024-07-24 21:00:00,1.5385125
2024-07-24 22:00:00,1.2654327
2024-07-24 23:00:00,0.90024847
2024-07-25 00:00:00,0.5531092
2024-07-25 01:00:00,0.2643983
2024-07-25 02:00:00,0.028449068
2024-07-25 03:00:00,-0.15932591
2024-07-25 04:00:00,-0.25361717
2024-07-25 05:00:00,0.08125739
2024-07-25 06:00:00,0.6751318
2024-07-25 07:00:00,1.2592393
2024-07-25 08:00:00,1.7256373
2024-07-25 09:00:00,1.8683518
2024-07-25 10:00:00,1.6104019
2024-07-25 11:00:00,1.2579631
2024-07-25 12:00:00,0.8819086
2024-07-25 13:00:00,0.5499176
2024-07-25 14:00:00,0.25933835
2024-07-25 15:00:00,0.031693213
2024-07-25 16:00:00,-0.13929953
2024-07-25 17:00:00,-0.123324536
2024-07-25 18:00:00,0.33470187
2024-07-25 19:00:00,0.831451
2024-07-25 20:00:00,1.287469
2024-07-25 21:00:00,1.5693475
2024-07-25 22:00:00,1.515995
2024-07-25 23:00:00,1.2419126
2024-07-26 00:00:00,0.8982627
2024-07-26 01:00:00,0.57322305
2024-07-26 02:00:00,0.2978324
2024-07-26 03:00:00,0.07528549
2024-07-26 04:00:00,-0.08677663
2024-07-26 05:00:00,-0.089285396
2024-07-26 06:00:00,0.3933472
2024-07-26 07:00:00,0.9424038
2024-07-26 08:00:00,1.4486873
2024-07-26 09:00:00,1.7345167
2024-07-26 10:00:00,1.7201965
2024-07-26 11:00:00,1.4386549
2024-07-26 12:00:00,1.0983616
2024-07-26 13:00:00,0.753849
2024-07-26 14:00:00,0.4556965
2024-07-26 15:00:00,0.21439019
2024-07-26 16:00:00,0.02533917
2024-07-26 17:00:00,-0.10299257
2024-07-26 18:00:00,0.011137412
2024-07-26 19:00:00,0.50598353
2024-07-26 20:00:00,0.9869873
2024-07-26 21:00:00,1.3912414
2024-07-26 22:00:00,1.5631217
2024-07-26 23:00:00,1.4255209
2024-07-27 00:00:00,1.1501479
2024-07-27 01:00:00,0.83582145
2024-07-27 02:00:00,0.5539673
2024-07-27 03:00:00,0.3160624
2024-07-27 04:00:00,0.12613006
2024-07-27 05:00:00,0.008907145
2024-07-27 06:00:00,0.08305129
2024-07-27 07:00:00,0.54505724
2024-07-27 08:00:00,1.0280793
2024-07-27 09:00:00,1.4314785
2024-07-27 10:00:00,1.6079766
2024-07-27 11:00:00,1.4858776
2024-07-27 12:00:00,1.2130837
2024-07-27 13:00:00,0.89507204
2024-07-27 14:00:00,0.59691185
2024-07-27 15:00:00,0.34500137
2024-07-27 16:00:00,0.13710342
2024-07-27 17:00:00,-0.019486507
2024-07-27 18:00:00,-0.09011211
2024-07-27 19:00:00,0.12467065
2024-07-27 20:00:00,0.60090274
2024-07-27 21:00:00,1.0268925
2024-07-27 22:00:00,1.3536613
2024-07-27 23:00:00,1.474025
2024-07-28 00:00:00,1.3364781
2024-07-28 01:00:00,1.078184
2024-07-28 02:00:00,0.8000133
2024-07-28 03:00:00,0.5539601
2024-07-28 04:00:00,0.34846935
2024-07-28 05:00:00,0.19624755
2024-07-28 06:00:00,0.12570935
2024-07-28 07:00:00,0.26913804
2024-07-28 08:00:00,0.6613193
2024-07-28 09:00:00,1.0491846
2024-07-28 10:00:00,1.3306279
2024-07-28 11:00:00,1.4150419
2024-07-28 12:00:00,1.2745045
2024-07-28 13:00:00,1.0263021
2024-07-28 14:00:00,0.75329345
2024-07-28 15:00:00,0.5021117
2024-07-28 16:00:00,0.28964987
2024-07-28 17:00:00,0.11722254
2024-07-28 18:00:00,0.00058813806
2024-07-28 19:00:00,-0.015392608
2024-07-28 20:00:00,0.2236597
2024-07-28 21:00:00,0.62182635
2024-07-28 22:00:00,0.97360855
2024-07-28 23:00:00,1.2322354
2024-07-29 00:00:00,1.3586717
2024-07-29 01:00:00,1.2691556
2024-07-29 02:00:00,1.0599884
2024-07-29 03:00:00,0.8087366
2024-07-29 04:00:00,0.5829529
2024-07-29 05:00:00,0.39534527
2024-07-29 06:00:00,0.26126522
2024-07-29 07:00:00,0.21063927
2024-07-29 08:00:00,0.33141056
2024-07-29 09:00:00,0.62736315
2024-07-29 10:00:00,0.92118675
2024-07-29 11:00:00,1.1113793
2024-07-29 12:00:00,1.1600139
2024-07-29 13:00:00,1.0586346
2024-07-29 14:00:00,0.8626635
2024-07-29 15:00:00,0.63856494
2024-07-29 16:00:00,0.43004405
2024-07-29 17:00:00,0.24325679
2024-07-29 18:00:00,0.09187417
2024-07-29 19:00:00,-0.010307513
2024-07-29 20:00:00,-0.008783733
2024-07-29 21:00:00,0.21279779
2024-07-29 22:00:00,0.56254953
2024-07-29 23:00:00,0.87663263
2024-07-30 00:00:00,1.1130488
2024-07-30 01:00:00,1.237006
2024-07-30 02:00:00,1.2121724
2024-07-30 03:00:00,1.0661206
2024-07-30 04:00:00,0.8521762
2024-07-30 05:00:00,0.64133096
2024-07-30 06:00:00,0.4641181
